Backbone,mIoU,Pixel Accuracy,Training Time (s),Params (M),Model Size (MB),Best Val Loss
ResNet18,0.4704,0.8785,2461.84,?,69.13,1.4692
ResNet34,0.5442,0.8744,4014.88,?,108.67,1.3805
